DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,DECKPORCHO,DECKPORCHE,PATIOCOVER,FENCEATTAC,YEARBUILT,VSD,LATITUDE,LONGITUDE,Distance,EMBER,FLAME
Destroyed (>50%),,Metal,Unenclosed,No Vents,Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.73158264,-121.4809858,991.2538959,2,
Destroyed (>50%),,Metal,No Eaves,No Vents,Combustible,Single Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,,,39.78668475,-121.5225316,144.3355059,3,4.759761
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,,,39.78275085,-121.5129808,42.30373954,6,35.039791
Minor (10-25%),,Metal,No Eaves,Unknown,Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,Non Combustible,No Fence,,,39.72415449,-121.6338666,222.2246125,,
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen <= 1/8""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.84369948,-121.5844771,35.76042827,,
Destroyed (>50%),,Metal,Unenclosed,Unknown,Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.7413122,-121.5557739,150.2138586,8,6.437006
Destroyed (>50%),,Metal,Unknown,Unknown,Combustible,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.73937227,-121.5453218,216.6921496,4,36.37677
Destroyed (>50%),,Metal,Unknown,Unknown,Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,Non Combustible,No Fence,,,39.79420049,-121.5031224,27.41474461,1,2.548562
Minor (10-25%),,Metal,No Eaves,No Vents,Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.7941575,-121.5028071,27.41474461,6,8.247779
Destroyed (>50%),,Asphalt,Unknown,Unknown,Combustible,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.76431535,-121.5482123,653.8163969,4,3.515488
Destroyed (>50%),,Metal,Unenclosed,Unknown,Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.74248112,-121.5541564,43.89048804,8,19.066198
Destroyed (>50%),,Metal,Unenclosed,No Vents,Combustible,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,,,39.74779561,-121.5542831,82.85055571,5,35.95549
Destroyed (>50%),,Metal,Unknown,Unknown,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.74604335,-121.5541014,55.62419211,5,36.213924
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Combustible,No Windows,No Deck/Porch,No Deck/Porch,Non Combustible,No Fence,,,39.81234667,-121.579498,14.52040459,7,8.257601
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Combustible,Single Pane,Masonry/Concrete,Wood,Unknown,No Fence,,,39.8125438,-121.5795593,0.914749021,1,3.384598
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.81243752,-121.57962,12.89186986,2,1.243777
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Unknown,No Fence,,,39.81254237,-121.5795487,0.914749021,1,3.384598
Destroyed (>50%),,Metal,No Eaves,No Vents,Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,,,39.73884413,-121.6383084,19.51449094,,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,,39.80316137,-121.579303,19.94396107,6,1.933645
