DAMAGE,ZIPCODE,ROOFCONSTRUCTION,EAVES,VENTSCREEN,EXTERIORSIDING,WINDOWPANE,DECKPORCHONGRADE,DECKPORCHELEVATED,PATIOCOVER,FENCE,YEARBUILT,LATITUDE,LONGITUDE,EMBER,FLAME,Distance,VSD
No Damage,,Metal,Enclosed,No Vents,Wood,No Windows,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,1991,38.60535127,-122.4729237,,0.732261777,35.47364836,3
No Damage,,Metal,Enclosed,No Vents,Wood,No Windows,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,1991,38.60524092,-122.473096,,,35.47364836,3
No Damage,,Metal,Unenclosed,"Mesh Screen > 1/8""",Wood,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.43676545,-122.5086049,,,184.717902,3
No Damage,,Other,No Eaves,"Mesh Screen > 1/8""",Other,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.43667651,-122.5091999,1,,24.42749422,3
No Damage,,Metal,No Eaves,"Mesh Screen > 1/8""",Metal,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,,38.43667487,-122.5093566,,2.902754068,24.42749422,3
No Damage,,Asphalt,Enclosed,"Mesh Screen > 1/8""",Wood,Single Pane,Wood,Wood,Non Combustible,Combustible,,38.4366936,-122.5096327,1,3.234349966,68.038388,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,38.43838942,-122.5087386,,3.586339235,724.5751358,3
No Damage,,Concrete,Enclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,No Deck/Porch,Wood,Combustible,No Fence,1983,38.55619529,-122.4595067,1,1.510697365,61.22062877,3
No Damage,,Concrete,Enclosed,"Mesh Screen > 1/8""",Wood,Multi Pane,No Deck/Porch,Wood,Combustible,No Fence,1983,38.55637033,-122.4596972,1,,61.22062877,3
No Damage,,Metal,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1927,38.52330366,-122.4484183,2.273761598,1.840488076,115.5027757,3
No Damage,,Tile,Enclosed,"Mesh Screen <= 1/8""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Wood,Non Combustible,Combustible,1982,38.55248714,-122.461293,1,7.548627853,553.3609527,3
No Damage,,Tile,Unenclosed,"Mesh Screen <= 1/8""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,2014,38.43596124,-122.5414961,,1.336000443,213.5933235,3
No Damage,,Tile,No Eaves,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Combustible,No Fence,2014,38.43588073,-122.5421706,1,1.684789538,213.5933235,3
No Damage,,Metal,Unenclosed,No Vents,Metal,No Windows,No Deck/Porch,No Deck/Porch,Combustible,No Fence,2005,38.43484894,-122.5518976,,,114.1197529,3
No Damage,,Asphalt,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,2010,38.43435412,-122.5550619,,,269.0660977,3
No Damage,,Metal,Enclosed,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,2005,38.43514854,-122.5516982,,,114.1197529,3
Destroyed (>50%),,Asphalt,Unknown,Unknown,Wood,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,1937,38.43604737,-122.5494583,,1.17835331,145.0284559,3
No Damage,,Metal,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1887,38.56098718,-122.4678924,5,13.09554768,17.04494805,3
Destroyed (>50%),,Asphalt,Unknown,Unknown,Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,1937,38.43622856,-122.5489974,,1.199537992,145.0284559,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1932,38.43693864,-122.5470792,,,90.74307054,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1912,38.43635896,-122.5501828,,2.384459257,30.18569652,3
Destroyed (>50%),,Asphalt,Unknown,Unknown,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1931,38.43692367,-122.5476337,,,0,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,1931,38.43698114,-122.5476745,,1.722789288,0,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Wood,Wood,No Patio Cover/Carport,No Fence,1912,38.43649406,-122.550231,,0.653117716,30.18569652,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Wood,Wood,No Patio Cover/Carport,No Fence,1932,38.43718123,-122.5472848,,1.283443213,23.7122711,3
No Damage,,Metal,No Eaves,No Vents,Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,1932,38.43721531,-122.5474395,,1.722789288,23.7122711,3
No Damage,,Concrete,Unenclosed,No Vents,Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1912,38.43664207,-122.5501088,,0.346511483,38.08124874,3
No Damage,,Tile,Enclosed,"Mesh Screen <= 1/8""",Other,Multi Pane,Wood,Wood,No Patio Cover/Carport,No Fence,2007,38.43739699,-122.5467115,,1.185466528,72.0616821,3
No Damage,,Tile,Enclosed,No Vents,Other,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,2007,38.43743411,-122.5469987,,1.185466528,72.0616821,3
No Damage,,Asphalt,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,1972,38.43822523,-122.5443358,1,1.220539212,7.159449047,3
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1932,38.43815318,-122.5447155,,1.075072408,16.00854081,3
No Damage,,Asphalt,Enclosed,"Mesh Screen > 1/8""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,1972,38.43831095,-122.5443405,1,1.220539212,7.159449047,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Wood,Multi Pane,No Deck/Porch,Wood,Combustible,No Fence,1932,38.43824715,-122.5448371,,1.075072408,16.00854081,3
Minor (10-25%),,Asphalt,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1976,38.43787725,-122.5465728,,1.218271971,74.77723336,3
No Damage,,Metal,Unenclosed,No Vents,Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,1972,38.4384836,-122.544423,,0.837020278,47.69357108,3
Destroyed (>50%),,Asphalt,Unknown,Unknown,Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,38.43810798,-122.5465715,,1.218271971,74.77723336,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,1948,38.43865451,-122.5441115,,3.674209356,31.45119794,3
No Damage,,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1948,38.43879211,-122.5440149,,3.674209356,31.45119794,3
No Damage,,Metal,Enclosed,"Mesh Screen > 1/8""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,1925,38.43520178,-122.5621804,1,2.776935816,118.0060372,3
No Damage,,Asphalt,Enclosed,No Vents,Wood,Multi Pane,Wood,No Deck/Porch,Combustible,No Fence,,38.44162923,-122.53518,,2.551911116,310.1099783,3
No Damage,,Metal,Unenclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1925,38.43540883,-122.5625422,,2.776935816,118.0060372,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Wood,No Deck/Porch,Combustible,Combustible,,38.44139613,-122.5373152,,1.697240829,104.6945001,3
No Damage,,Asphalt,Unenclosed,No Vents,Wood,Multi Pane,No Deck/Porch,Wood,Combustible,No Fence,,38.44177152,-122.5361139,,1.100307345,310.1099783,3
No Damage,,Tile,Unenclosed,"Mesh Screen > 1/8""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,Non Combustible,1925,38.43538262,-122.5644973,,7.238015652,246.0612477,3
No Damage,,Metal,Unenclosed,"Mesh Screen > 1/8""",Wood,Multi Pane,Wood,No Deck/Porch,Combustible,No Fence,1990,38.44156685,-122.5376615,1,1.698292136,26.57976337,3
No Damage,,Metal,Unenclosed,No Vents,Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1916,38.44167576,-122.5378049,,0.461060524,26.57976337,3
No Damage,,Metal,Unenclosed,"Mesh Screen > 1/8""",Wood,Multi Pane,Wood,No Deck/Porch,Combustible,Combustible,1966,38.44044871,-122.5428912,,1.820218921,73.81969483,3
No Damage,,Tile,Enclosed,No Vents,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1925,38.43565389,-122.5652101,,2.249188662,246.0612477,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Wood,Single Pane,No Deck/Porch,Wood,Combustible,No Fence,1950,38.44157499,-122.5390415,,,142.6680426,3
