DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,DECKPORCHO,DECKPORCHE,PATIOCOVER,FENCEATTAC,YEARBUILT,FLAME,EMBER,LATITUDE,LONGITUDE,Distance,VSD
No Damage,95411,Concrete,No Eaves,"Mesh Screen > 1/8""",Stucco/Brick/Cement,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,1,38.6886824,-122.7944104,6761.531312,3
Destroyed (>50%),95411,Metal,Unenclosed,"Mesh Screen <= 1/8""",Metal,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,2000,,,38.68062635,-122.8263042,5707.767683,3
No Damage,95411,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1946,,,38.68062635,-122.8263042,5489.22821,3
No Damage,95411,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1946,,,38.68062635,-122.8263042,5104.258464,3
Destroyed (>50%),95448,Asphalt,Unknown,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,38.61286787,-122.8118644,4357.643197,3
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2015,3.031882524,,38.63807075,-122.7198121,3687.50309,3
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2015,3.031882524,,38.63807075,-122.7198121,3493.515676,3
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2015,3.031882524,,38.63807075,-122.7198121,3411.471973,3
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1979,,,38.56753989,-122.811043,3035.95809,3
Minor (10-25%),95433,Metal,Unenclosed,No Vents,Metal,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1950,1.503649235,,38.6558937,-122.730072,3027.070906,3
Destroyed (>50%),,Tile,Unknown,"Mesh Screen > 1/8""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,1977,,,38.65631321,-122.7304051,2842.730146,3
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1942,,,38.5721211,-122.772321,2567.279234,3
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1985,1.698079944,,38.5381882,-122.7672101,2479.156511,3
