DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,VSD ,YEARBUILT,Distance,EMBER,FLAME,LATITUDE,LONGITUDE
No Damage,93060,,,,,,3,,7.261809313,0,,34.3802725,-119.0685163
No Damage,,,,,,,3,,6.664754902,0.008598768,,34.32977298,-119.2890219
No Damage,93009,,,,,,3,,61.95272725,0.241063368,11.47454071,34.2870917,-119.2141365
No Damage,,,,,,,3,,12.29473601,0,8.70835495,34.28580415,-119.2221321
No Damage,,,,,,,3,,24.34862139,0.000759684,,34.2857369,-119.2240667
No Damage,,,,,,,3,,43.04194035,0.062129991,6.68337965,34.28595,-119.2140241
No Damage,93060,,,,,,3,,218.2495631,0.019390734,9.091339111,34.3902206,-119.1460832
Destroyed (>50%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,3,1978,41.75857675,0.330859646,,34.2960071,-119.2015377
No Damage,93060,,,,,,3,,10.60984669,0,,34.38189918,-119.0698712
No Damage,93060,,,,,,3,,12.12554544,0,,34.38176347,-119.0697251
No Damage,93060,,,,,,3,,12.0770619,0,,34.37718153,-119.0674211
No Damage,93001,,,,,,3,,4.903693437,0.034676649,,34.32908113,-119.2892331
No Damage,93060,,,,,,3,,9.986711874,0,,34.38121611,-119.0693423
No Damage,93060,,,,,,3,,11.86870585,0,,34.38111232,-119.0693273
No Damage,93060,,,,,,3,,15.18768137,0,,34.38076715,-119.069666
No Damage,93060,,,,,,3,,14.54640512,0,,34.38097401,-119.0698773
No Damage,93060,,,,,,3,,10.80770021,0,,34.38111017,-119.0699613
No Damage,,,,,,,3,,4.920885794,0.169118517,,34.298268,-119.2093822
No Damage,,,,,,,3,,3.728140601,0,,34.3295441,-119.2871188
No Damage,93060,,,,,,3,,140.6035943,0.359338515,7.974624157,34.337173,-119.157631
No Damage,,,,,,,3,,14.47017268,0.024922553,,34.32998922,-119.2872369
No Damage,,,,,,,3,,1.558585031,0,,34.32959312,-119.2868977
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Unknown,3,2016,12.29473601,0.302730577,5.756818771,34.2860354,-119.2221657
