Distance,VSD,LATITUDE,LONGITUDE,DAMAGE,YEARBUILT,ZIPCODE,ROOFCONSTRUCTION,EAVES,VENTSCREEN,EXTERIORSIDING,WINDOWPANE,EMBER,FLAME
40.78583369,0,38.49626123,-122.6958337,Destroyed (>50%),2006,95404,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane,7,0.20434615
18.20901744,0,38.48200177,-122.7480508,Destroyed (>50%),1987,95403,Fire Resistant,Unknown,Screened,Combustible,Multi Pane,6,0.268081993
26.70712746,0,38.58302918,-122.6334656,,,,,,,,,22,0.323972762
44.67561783,0,38.51599664,-122.7160071,Destroyed (>50%),1962,95404,Combustible,Unknown,Screened,Combustible,Unknown,8,0.335752487
26.96912708,0,38.49712019,-122.7420517,Destroyed (>50%),1970,94503,Combustible,Unknown,Screened,Fire Resistant,Multi Pane,4,0.34083423
36.05384889,0,38.4972759,-122.7419965,,,,,,,,,4,0.34083423
48.07896905,0,38.47987137,-122.6989198,Destroyed (>50%),1989,95404,Fire Resistant,Unknown,Screened,Combustible,Single Pane,9,0.374737471
83.6774644,0,38.50720735,-122.7321499,Destroyed (>50%),1934,95404,Fire Resistant,Unknown,Unknown,Fire Resistant,Unknown,4,0.374859005
70.58476822,1,38.49316301,-122.7081598,Destroyed (>50%),1988,95403,Fire Resistant,Unknown,Screened,Combustible,Multi Pane,8,0.382944882
22.95049842,0,38.49325748,-122.7084508,Destroyed (>50%),1987,95403,Fire Resistant,Unknown,Screened,Combustible,Multi Pane,8,0.382944882
57.94732052,0,38.50901705,-122.742475,Destroyed (>50%),1963,94558,Combustible,Enclosed,Screened,Combustible,Single Pane,25,0.408216804
55.16647202,0,38.48993881,-122.7011914,Destroyed (>50%),2002,95404,Fire Resistant,Not Applicable,Unknown,Combustible,Unknown,7,0.422253191
53.75545913,0,38.49068592,-122.6999468,Destroyed (>50%),2006,95404,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,6,0.433886826
38.89459611,0,38.49316379,-122.7045419,,,,,,,,,26,0.436068296
