DAMAGE,FLAME,EMBER,YEARBUILT,Distance,VSD,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,LATITUDE,LONGITUDE
0,8.615638733,25,2017,876.0701893,0,95448,0,2,0,0,2,38.51465647,-122.7300672
0,14.41268349,4,2017,11.90238415,0,95404,0,,0,,1,38.47400577,-122.744869
0,11.47381878,4,2017,431.2014358,1,95404,0,0,0,0,,38.52706362,-122.706365
0,10.13303852,17,2016,36.87536256,0,95404,0,2,0,0,1,38.54630148,-122.6688884
0,8.962882042,26,2016,88.15925829,2,95404,0,0,0,,1,38.52942518,-122.6872138
0,9.817358971,22,2016,89.28994061,0,95404,0,1,0,,1,38.52942518,-122.6872138
0,23.65371704,27,2016,11.89027797,0,95404,0,,0,,1,38.47271441,-122.7410403
0,10.96956158,16,2016,15.66407066,0,95404,0,,0,,1,38.54799708,-122.667476
0,19.57283401,15,2016,15.66407066,0,95404,0,,0,1,1,38.47248386,-122.728893
0,26.86551476,31,2016,22.85013002,2,95404,0,,0,,,38.51118847,-122.7064519
0,0.563167214,21,2016,6.30092897,0,95404,,2,,1,,38.4722971,-122.740775
0,26.86551476,21,2016,6.30092897,1,95404,,2,,1,,38.4722971,-122.740775
0,14.43637669,1.5,2016,2.684376056,2,95403,0,,,,1,38.47730748,-122.7000755
0,9.995637894,1,2016,11.98330652,1,95403,0,,0,,,38.47315037,-122.7368862
0,9.995637894,1,2016,11.98330652,2,95403,0,,0,,,38.47315037,-122.7368862
0,31.32855225,19,2016,178.4162779,0,94515,0,0,0,,2,38.59815915,-122.6361234
0,11.9688015,17,2016,705.8206178,0,94515,0,2,,,2,38.55826249,-122.6855342
0,27.87139702,21,2015,54.16811073,1,95404,0,2,0,1,,38.54224721,-122.6686637
0,6.072376728,4,2015,22.9719083,0,95404,0,0,0,0,2,38.48854941,-122.6943808
0,35.91924286,3,2015,242.9608967,0,95404,0,,0,,2,38.51503252,-122.680987
